Designator,Footprint,Quantity,Value,LCSC Part #
"0,1",SW_MX_1u,1,MX_switch,
"1,1, 1,10, 1,11, 1,12, 1,13, 1,14, 1,15, 1,16, 1,2, 1,3, 1,4, 1,5, 1,6, 1,7, 1,8, 1,9, 10,1, 11,1, 12,1, 13,1, 2,1, 2,10, 2,11, 2,12, 2,13, 2,14, 2,16, 2,3, 2,4, 2,5, 2,6, 2,7, 2,8, 2,9, 3,1, 3,10, 3,11, 3,12, 3,13, 3,14, 3,15, 3,3, 3,4, 3,5, 3,6, 3,7, 3,8, 3,9, 4,1, 4,10, 4,11, 4,12, 4,14, 4,2, 4,3, 4,4, 4,5, 4,6, 4,7, 4,8, 4,9, 5,1, 5,2, 5,3, 5,4, 6,1, 6,5, 6,6, 6,7, 6,8, 7,1, 8,1, 9,1",SW_MX_1u,73,MX_SW_solder,
"2,15, 2,2",SW_MX_1.5u,2,MX_SW_solder,
"3,2, 4,13",SW_MX_1.75u,2,MX_SW_solder,
"6,2, 6,3, 6,4",SW_MX_1.25u,3,MX_SW_solder,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D9",D_SOD-123,81,D_Small,
"S1, S3",STAB_MX_P_2.25u,2,MX_stab,
S2,STAB_MX_P_2u,1,MX_stab,
S4,STAB_MX_P_6.25u,1,MX_stab,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
