Designator,Mid X,Mid Y,Rotation,Layer
D1,68.87815,-90.74855,90.0,bottom
D10,255.45805,-90.74855,90.0,bottom
D11,274.59445,-90.74855,90.0,bottom
D12,293.73085,-90.74855,90.0,bottom
D13,312.86725,-90.74855,90.0,bottom
D14,336.78775,-90.74855,90.0,bottom
D15,68.87815,-114.66905,90.0,bottom
D16,88.01455,-114.66905,90.0,bottom
D17,107.30095,-114.65905,90.0,bottom
D18,126.28735,-114.66905,90.0,bottom
D19,145.57375,-114.65905,90.0,bottom
D2,92.79865,-90.74855,90.0,bottom
D20,164.56015,-114.66905,90.0,bottom
D21,183.69655,-114.66905,90.0,bottom
D22,202.83295,-114.66905,90.0,bottom
D23,221.96935,-114.66905,90.0,bottom
D24,241.10575,-114.66905,90.0,bottom
D25,260.24215,-114.66905,90.0,bottom
D26,279.37855,-114.66905,90.0,bottom
D27,298.51495,-114.66905,90.0,bottom
D28,327.21955,-114.66905,90.0,bottom
D29,360.70825,-114.66905,90.0,bottom
D3,111.93505,-90.74855,90.0,bottom
D30,73.66225,-133.80545,90.0,bottom
D31,97.58275,-133.80545,90.0,bottom
D32,116.71915,-133.80545,90.0,bottom
D33,135.85555,-133.80545,90.0,bottom
D34,154.99195,-133.80545,90.0,bottom
D35,174.12835,-133.80545,90.0,bottom
D36,193.26475,-133.80545,90.0,bottom
D37,212.40115,-133.80545,90.0,bottom
D38,231.53755,-133.80545,90.0,bottom
D39,250.82395,-133.79545,90.0,bottom
D4,131.07145,-90.74855,90.0,bottom
D40,269.81035,-133.80545,90.0,bottom
D41,288.94675,-133.80545,90.0,bottom
D42,306.48845,-133.80545,90.0,bottom
D43,332.00365,-133.80545,90.0,bottom
D44,360.70825,-133.80545,90.0,bottom
D45,75.25695,-152.94185,90.0,bottom
D46,102.36685,-152.94185,90.0,bottom
D47,121.50325,-152.94185,90.0,bottom
D48,140.63965,-152.94185,90.0,bottom
D49,159.77605,-152.9551,90.0,bottom
D5,150.20785,-90.74855,90.0,bottom
D50,178.91245,-152.94185,90.0,bottom
D51,198.04885,-152.94185,90.0,bottom
D52,217.18525,-152.94185,90.0,bottom
D53,236.32165,-152.94185,90.0,bottom
D54,255.45805,-152.94185,90.0,bottom
D55,274.59445,-152.94185,90.0,bottom
D56,293.73085,-152.94185,90.0,bottom
D57,324.8275,-152.94185,90.0,bottom
D58,360.70825,-152.94185,90.0,bottom
D59,80.8384,-172.07825,90.0,bottom
D6,174.12835,-90.74855,90.0,bottom
D60,111.93505,-172.07825,90.0,bottom
D61,131.07145,-172.07825,90.0,bottom
D62,150.20785,-172.07825,90.0,bottom
D63,169.34425,-172.07825,90.0,bottom
D64,188.48065,-172.07825,90.0,bottom
D65,207.61705,-172.07825,90.0,bottom
D66,226.75345,-172.07825,90.0,bottom
D67,245.88985,-172.07825,90.0,bottom
D68,265.02625,-172.07825,90.0,bottom
D69,284.16265,-172.07825,90.0,bottom
D7,193.26475,-90.74855,90.0,bottom
D70,310.4752,-172.07825,90.0,bottom
D71,341.57185,-176.86235,90.0,bottom
D72,71.2702,-191.21465,90.0,bottom
D73,95.1907,-191.21465,90.0,bottom
D74,119.1112,-191.21465,90.0,bottom
D75,190.8727,-191.21465,90.0,bottom
D76,259.4448,-191.21465,90.0,bottom
D77,278.5812,-191.21465,90.0,bottom
D78,297.7176,-191.21465,90.0,bottom
D79,322.43545,-195.99875,90.0,bottom
D8,212.40115,-90.74855,90.0,bottom
D80,341.57185,-195.99875,90.0,bottom
D81,359.9109,-195.99875,90.0,bottom
D9,231.53755,-90.74855,90.0,bottom
U1,355.68315,-82.80325,270.0,bottom
